Time,Fc,Zs,Zus,Zr
5.382,-9.96413,0.0112677,0.00538666,0.00469343
5.384,-9.96116,0.0112869,0.0053964,0.00469343
5.386,-9.95807,0.0112869,0.0053964,0.00469343
5.388,-9.95486,0.0112674,0.00537692,0.00469343
5.39,-9.95153,0.0112428,0.00534283,0.00469343
5.392,-9.94808,0.0112281,0.00532822,0.00469343
5.394,-9.94452,0.0112184,0.00531848,0.00469124
5.396,-9.94083,0.0112038,0.00530387,0.00468904
5.398,-9.93703,0.0111794,0.00527951,0.00468464
5.4,-9.9331,0.0111015,0.00520159,0.00466707
5.402,-9.92906,0.0110723,0.00517236,0.00465608
5.404,-9.92489,0.0110431,0.00514314,0.00464509
5.406,-9.92061,0.011009,0.00510905,0.00463411
5.408,-9.9162,0.0109408,0.00504086,0.00460115
5.41,-9.91168,0.0109067,0.00500677,0.00457917
5.412,-9.90703,0.0108629,0.00496294,0.00454841
5.414,-9.90227,0.010819,0.0049191,0.00451545
5.416,-9.89738,0.0107752,0.00487527,0.0044737
5.418,-9.89238,0.0106827,0.00478273,0.00436164
5.42,-9.88725,0.0105706,0.00467071,0.00422101
5.422,-9.88201,0.0105122,0.00461227,0.00414411
5.424,-9.87664,0.0104586,0.00455869,0.00408478
5.426,-9.87116,0.010405,0.00450512,0.00403864
5.428,-9.86555,0.0103563,0.00445642,0.00399909
5.43,-9.85982,0.0102443,0.0043444,0.0039024
5.432,-9.85397,0.0100982,0.00419828,0.00376397
5.434,-9.848,0.0100203,0.00412036,0.00368267
5.436,-9.84191,0.00994723,0.0040473,0.00360357
5.438,-9.8357,0.00987904,0.00397912,0.00352886
5.44,-9.82937,0.0098206,0.00392067,0.00345855
5.442,-9.82291,0.00969397,0.00379404,0.00330034
5.444,-9.81634,0.0095235,0.00362358,0.00311138
5.446,-9.80965,0.00943096,0.00353104,0.0030103
5.448,-9.80283,0.00934817,0.00344824,0.0029268
5.45,-9.79589,0.00927511,0.00337519,0.00286088
5.452,-9.78883,0.00920693,0.003307,0.00279716
5.454,-9.78165,0.00914817,0.00323882,0.00272905
5.456,-9.77435,0.00896309,0.00305374,0.00254667
5.458,-9.76693,0.00885594,0.00294659,0.00243021
5.46,-9.75938,0.00874879,0.00283944,0.00229838
5.462,-9.75172,0.00866113,0.00275178,0.00217313
5.464,-9.74393,0.00856859,0.00265924,0.00205008
5.466,-9.73602,0.00838351,0.00247416,0.00179959
5.468,-9.72799,0.00809616,0.00218681,0.00145242
5.47,-9.71984,0.00800362,0.00209427,0.00136013
5.472,-9.71157,0.0078916,0.00198225,0.00131618
5.474,-9.70317,0.00777958,0.00187023,0.00131399
5.476,-9.69466,0.00760425,0.0016949,0.00127663
5.478,-9.68602,0.0074971,0.00158775,0.00123269
5.48,-9.67726,0.0074143,0.00150495,0.00115358
5.482,-9.66838,0.00726819,0.00135884,0.00103713
5.484,-9.65938,0.00711265,0.00121273,0.000889907
5.486,-9.65025,0.00690354,0.00101304,0.000555917
5.488,-9.64101,0.00670873,0.000818227,0.000186771
5.49,-9.63164,0.00653371,0.000652634,1.98E-05
5.492,-9.62215,0.00639734,0.000516262,-9.23E-05
5.494,-9.61254,0.00632428,0.000443206,-0.000151614
5.496,-9.60281,0.00621713,0.000336058,-0.000191165
5.498,-9.59295,0.00613921,0.000258131,-0.000228519
5.5,-9.58298,0.0059392,4.87E-05,-0.000362555
5.502,-9.57288,0.00579828,-8.28E-05,-0.000454841
5.504,-9.56266,0.00566709,-0.000204557,-0.000560312
5.506,-9.55232,0.00554046,-0.000331187,-0.000674571
5.508,-9.54185,0.00544306,-0.000428595,-0.000804212
5.51,-9.53127,0.00521446,-0.000647763,-0.00110085
5.512,-9.52056,0.00487872,-0.00097408,-0.00161062
5.514,-9.50973,0.00476183,-0.00109097,-0.00176443
5.516,-9.49878,0.00466442,-0.00118838,-0.00185013
5.518,-9.48771,0.00452318,-0.00132962,-0.00185452
5.52,-9.47652,0.00430888,-0.00154392,-0.00184134
5.522,-9.4652,0.00418712,-0.00166568,-0.00185013
5.524,-9.45377,0.00408485,-0.00176796,-0.00188968
5.526,-9.44221,0.00398257,-0.00187023,-0.00196439
5.528,-9.43053,0.00383677,-0.0020066,-0.00206326
5.53,-9.41873,0.00358901,-0.00223551,-0.00230936
5.532,-9.4068,0.00336529,-0.00244981,-0.00261479
5.534,-9.39476,0.00324416,-0.00255209,-0.00277299
5.536,-9.38259,0.00308407,-0.00269333,-0.00289384
5.538,-9.37031,0.00297268,-0.00278587,-0.00296855
5.54,-9.3579,0.00277331,-0.00297581,-0.00306084
5.542,-9.34537,0.00261746,-0.00313167,-0.00311138
5.544,-9.33271,0.00250576,-0.00323395,-0.00313115
5.546,-9.31994,0.00237489,-0.00334596,-0.00315313
5.548,-9.30705,0.00225863,-0.00344337,-0.00319048
5.55,-9.29403,0.00217583,-0.00352617,-0.003252
5.552,-9.28089,0.00191897,-0.00374534,-0.00359039
5.554,-9.26764,0.00180758,-0.00383788,-0.0037398
5.556,-9.25426,0.00171567,-0.00391093,-0.00387384
5.558,-9.24076,0.0016189,-0.00398886,-0.00395514
5.56,-9.22713,0.00139612,-0.00417393,-0.00403205
5.562,-9.21339,0.00132338,-0.00423725,-0.00404962
5.564,-9.19953,0.00125064,-0.00430056,-0.0040672
5.566,-9.18554,0.00120194,-0.00434927,-0.00408478
5.568,-9.17144,0.0011435,-0.00440771,-0.00411115
5.57,-9.15721,0.00091585,-0.00459766,-0.00419904
5.572,-9.14287,0.000756075,-0.00472916,-0.00431989
5.574,-9.1284,0.000726853,-0.00475838,-0.00439021
5.576,-9.11381,0.000697946,-0.00477786,-0.00445173
5.578,-9.0991,0.000625206,-0.00484118,-0.00450007
5.58,-9.08428,0.000567394,-0.00488014,-0.00453962
5.582,-9.06933,0.00042223,-0.00499703,-0.00461213
5.584,-9.05426,0.000363785,-0.00505548,-0.00467146
5.586,-9.03907,0.000320267,-0.00508957,-0.00468904
5.588,-9.02376,0.00027675,-0.00512366,-0.00469563
5.59,-9.00833,0.000228362,-0.00516262,-0.00469563
5.592,-8.99278,0.000194585,-0.00518698,-0.00469783
5.594,-8.97711,0.000165362,-0.0052162,-0.00470662
5.596,-8.96132,0.000107234,-0.0052649,-0.00473738
5.598,-8.94541,7.83E-05,-0.00528438,-0.00475935
5.6,-8.92938,5.92E-05,-0.00529412,-0.00478132
5.602,-8.91323,4.94E-05,-0.00530387,-0.00479671
5.604,-8.89696,2.05E-05,-0.00532335,-0.0048055
5.606,-8.88058,-1.36E-05,-0.00535744,-0.00480769
5.608,-8.86407,-6.17E-05,-0.00538666,-0.00480769
5.61,-8.84744,-5.65E-05,-0.00537205,-0.00480769
5.612,-8.8307,-5.16E-05,-0.00536718,-0.00480769
5.614,-8.81383,-4.67E-05,-0.00536231,-0.00480769
5.616,-8.79685,-3.18E-05,-0.00533796,-0.0048033
5.618,-8.77975,-1.72E-05,-0.00532335,-0.0047989
5.62,-8.76253,2.30E-06,-0.00530387,-0.00479451
5.622,-8.74519,1.69E-05,-0.00528925,-0.00478572
5.624,-8.72773,4.13E-05,-0.0052649,-0.00477254
5.626,-8.71015,8.51E-05,-0.00522107,-0.00473518
5.628,-8.69246,0.000148409,-0.00515775,-0.00468684
5.63,-8.67465,0.000177631,-0.00512853,-0.00465828
5.632,-8.65672,0.000216594,-0.00508957,-0.00463411
5.634,-8.63867,0.000250687,-0.00505548,-0.00460774
5.636,-8.6205,0.00027991,-0.00502625,-0.00457698
5.638,-8.60222,0.000391929,-0.00491423,-0.00443415
5.64,-8.58381,0.000435762,-0.0048704,-0.00437482
5.642,-8.56529,0.000479596,-0.00482657,-0.00431989
5.644,-8.54666,0.0005283,-0.00477786,-0.00427814
5.646,-8.5279,0.000572134,-0.00473403,-0.0042342
5.648,-8.50903,0.000708505,-0.00459766,-0.00404083
5.65,-8.49004,0.00076695,-0.00453921,-0.00395953
5.652,-8.47094,0.000825394,-0.00448077,-0.00388922
5.654,-8.45172,0.00088871,-0.00441745,-0.00383868
5.656,-8.43238,0.000971506,-0.00433466,-0.00378815
5.658,-8.41293,0.0011426,-0.00414471,-0.00356622
5.66,-8.39335,0.00121079,-0.00407652,-0.00347173
5.662,-8.37367,0.00129846,-0.00398886,-0.00339043
5.664,-8.35386,0.00138125,-0.00390606,-0.00333111
5.666,-8.33395,0.00146405,-0.00382326,-0.00327837
5.668,-8.31391,0.00167866,-0.00359923,-0.00303008
5.67,-8.29376,0.00176633,-0.00351156,-0.00292241
5.672,-8.2735,0.00186374,-0.00341415,-0.00283232
5.674,-8.25312,0.00195628,-0.00332161,-0.0027686
5.676,-8.23262,0.00205855,-0.00321933,-0.00270927
5.678,-8.21201,0.00227835,-0.00298068,-0.00243021
5.68,-8.19128,0.00237089,-0.00288815,-0.00230716
5.682,-8.17044,0.00247317,-0.00278587,-0.00220389
5.684,-8.14949,0.00257545,-0.00268359,-0.00213578
5.686,-8.12842,0.00279462,-0.00246442,-0.00199515
5.688,-8.10724,0.00288228,-0.00237676,-0.00191385
5.69,-8.08594,0.00295078,-0.00229883,-0.00181277
5.692,-8.06453,0.00303358,-0.00221603,-0.00170291
5.694,-8.04301,0.00314073,-0.00210888,-0.00158865
5.696,-8.02137,0.00341316,-0.00184588,-0.00136013
5.698,-7.99962,0.00366642,-0.00159262,-0.00110085
5.7,-7.97775,0.00376383,-0.00149521,-0.000962417
5.702,-7.95578,0.00383688,-0.00142216,-0.000845961
5.704,-7.93369,0.00393429,-0.00132475,-0.000760266
5.706,-7.91149,0.00404631,-0.00121273,-0.000681163
5.708,-7.88917,0.00443562,-0.000832838,-0.000402106
5.71,-7.86675,0.00456226,-0.000706208,-0.000305425
5.712,-7.84421,0.00467427,-0.000594189,-0.000213138
5.714,-7.82156,0.00477168,-0.000496781,-0.00013843
5.716,-7.7988,0.0048837,-0.000384762,-5.27E-05
5.718,-7.77593,0.00523892,-3.90E-05,0.000314214
5.72,-7.75294,0.00538959,0.000102278,0.000443855
5.722,-7.72985,0.00552596,0.00023865,0.000558114
5.724,-7.70664,0.00564772,0.00036041,0.000646006
5.726,-7.68333,0.00575,0.000462688,0.000727306
5.728,-7.6599,0.00605197,0.000764653,0.00108327
5.73,-7.63636,0.00620263,0.000905894,0.00119973
5.732,-7.61272,0.00638708,0.00107149,0.00128542
5.734,-7.58896,0.00652832,0.00121273,0.00133596
5.736,-7.56509,0.0066306,0.00131501,0.00138869
5.738,-7.54112,0.00685463,0.00153905,0.00170291
5.74,-7.51704,0.00700043,0.00167542,0.00181277
5.742,-7.49284,0.00719917,0.00184588,0.00190506
5.744,-7.46854,0.00740309,0.00203096,0.00197757
5.746,-7.44413,0.00752972,0.00215759,0.00205448
