Time - Fc (N),Amplitude - Fc (N),"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Middle Plate,  VehicleTire (m)","Amplitude - Middle Plate,  VehicleTire (m)","Time - Top Plate, Vechile Body (m)","Amplitude - Top Plate, Vechile Body (m)"
0.16,0.139935,0.16,0.00205008,0.16,0.00186536,0.16,0.00186536
0.162,0.142182,0.162,0.00206766,0.162,0.00188972,0.162,0.00188972
0.164,0.144442,0.164,0.00210941,0.164,0.00195303,0.164,0.00195303
0.166,0.146715,0.166,0.00215775,0.166,0.00201635,0.166,0.00201635
0.168,0.148999,0.168,0.00218192,0.168,0.00204557,0.168,0.00204557
0.17,0.151296,0.17,0.00220389,0.17,0.00206992,0.17,0.00206992
0.172,0.153606,0.172,0.00222367,0.172,0.0020894,0.172,0.0020894
0.174,0.155927,0.174,0.00224344,0.174,0.00211375,0.174,0.00211375
0.176,0.158261,0.176,0.00228739,0.176,0.00216733,0.176,0.00216733
0.178,0.160608,0.178,0.00233353,0.178,0.0022209,0.178,0.0022209
0.18,0.162966,0.18,0.0023577,0.18,0.00224038,0.18,0.00224038
0.182,0.165337,0.182,0.00237748,0.182,0.00226474,0.182,0.00226474
0.184,0.16772,0.184,0.00239725,0.184,0.00228909,0.184,0.00228909
0.186,0.170115,0.186,0.00241703,0.186,0.00231344,0.186,0.00231344
0.188,0.172523,0.188,0.00246317,0.188,0.00236214,0.188,0.00236214
0.19,0.174943,0.19,0.00251591,0.19,0.00240598,0.19,0.00240598
0.192,0.177376,0.192,0.00254447,0.192,0.00242546,0.192,0.00242546
0.194,0.17982,0.194,0.00256645,0.194,0.00244494,0.194,0.00244494
0.196,0.182277,0.196,0.00258622,0.196,0.00246442,0.196,0.00246442
0.198,0.184746,0.198,0.002606,0.198,0.0024839,0.198,0.0024839
0.2,0.187228,0.2,0.00264994,0.2,0.002518,0.2,0.002518
0.202,0.189722,0.202,0.00269389,0.202,0.00255209,0.202,0.00255209
0.204,0.192228,0.204,0.00271586,0.204,0.0025667,0.204,0.0025667
0.206,0.194746,0.206,0.00273344,0.206,0.00258618,0.206,0.00258618
0.208,0.197277,0.208,0.00274882,0.208,0.00259592,0.208,0.00259592
0.21,0.19982,0.21,0.0027642,0.21,0.00260566,0.21,0.00260566
0.212,0.202376,0.212,0.00280156,0.212,0.00262028,0.212,0.00262028
0.214,0.204943,0.214,0.00284331,0.214,0.00264463,0.214,0.00264463
0.216,0.207523,0.216,0.00286308,0.216,0.00265437,0.216,0.00265437
0.218,0.210115,0.218,0.00288066,0.218,0.00266411,0.218,0.00266411
0.22,0.21272,0.22,0.00289604,0.22,0.00267385,0.22,0.00267385
0.222,0.215337,0.222,0.00291142,0.222,0.00267872,0.222,0.00267872
0.224,0.217966,0.224,0.00294878,0.224,0.0026982,0.224,0.0026982
0.226,0.220607,0.226,0.00298613,0.226,0.00271281,0.226,0.00271281
0.228,0.223261,0.228,0.0030081,0.228,0.00271768,0.228,0.00271768
