Time - Fc (N),Amplitude - Fc (N),"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Middle Plate,  VehicleTire (m)","Amplitude - Middle Plate,  VehicleTire (m)","Time - Top Plate, Vechile Body (m)","Amplitude - Top Plate, Vechile Body (m)"
0.174,0,0.174,0.00063502,0.174,0.000336058,0.174,0.000336058
0.176,0,0.176,0.000656993,0.176,0.00036041,0.176,0.00036041
0.178,0,0.178,0.000678966,0.178,0.000394502,0.178,0.000394502
0.18,0,0.18,0.00069215,0.18,0.000409114,0.18,0.000409114
0.182,0,0.182,0.000700939,0.182,0.000423725,0.182,0.000423725
0.184,0,0.184,0.000709728,0.184,0.000438336,0.184,0.000438336
0.186,0,0.186,0.000718517,0.186,0.000452947,0.186,0.000452947
0.188,0,0.188,0.000738293,0.188,0.00048217,0.188,0.00048217
0.19,0,0.19,0.000760266,0.19,0.000511392,0.19,0.000511392
0.192,0,0.192,0.000769055,0.192,0.000526003,0.192,0.000526003
0.194,0,0.194,0.000777844,0.194,0.000540614,0.194,0.000540614
0.196,0,0.196,0.000784436,0.196,0.000555226,0.196,0.000555226
0.198,0,0.198,0.000793225,0.198,0.000569837,0.198,0.000569837
0.2,0,0.2,0.000810804,0.2,0.000599059,0.2,0.000599059
0.202,0,0.202,0.000832777,0.202,0.000633152,0.202,0.000633152
0.204,0,0.204,0.000843763,0.204,0.000647763,0.204,0.000647763
0.206,0,0.206,0.00085475,0.206,0.000662374,0.206,0.000662374
0.208,0,0.208,0.000861342,0.208,0.000672115,0.208,0.000672115
0.21,0,0.21,0.000870131,0.21,0.000686726,0.21,0.000686726
0.212,0,0.212,0.000887709,0.212,0.000715949,0.212,0.000715949
0.214,0,0.214,0.000909682,0.214,0.000745171,0.214,0.000745171
0.216,0,0.216,0.000920669,0.216,0.000759782,0.216,0.000759782
0.218,0,0.218,0.000929458,0.218,0.000769523,0.218,0.000769523
0.22,0,0.22,0.000938247,0.22,0.000784134,0.22,0.000784134
0.222,0,0.222,0.000947036,0.222,0.000793875,0.222,0.000793875
0.224,0,0.224,0.000966812,0.224,0.000823098,0.224,0.000823098
0.226,0,0.226,0.000988785,0.226,0.00084745,0.226,0.00084745
0.228,0,0.228,0.00100197,0.228,0.000862061,0.228,0.000862061
0.23,0,0.23,0.00101076,0.23,0.000876672,0.23,0.000876672
0.232,0,0.232,0.00101955,0.232,0.000886413,0.232,0.000886413
0.234,0,0.234,0.00102834,0.234,0.000896154,0.234,0.000896154
0.236,0,0.236,0.00104811,0.236,0.000915635,0.236,0.000915635
0.238,0,0.238,0.00107009,0.238,0.000939987,0.238,0.000939987
0.24,0,0.24,0.00108107,0.24,0.000949728,0.24,0.000949728
